primary_doi,publication_year,access_priority,pmcid,raw_block_rows,positive_qe_rows,core_process_complete_rows,basic_material_complete_rows,primary_title,verification_status,v3_admission_status,notes
10.3390/separations8030032,2021,B_OA_PDF,,216,216,216,216,"Adsorption Characteristics of Phosphate Ions by Pristine, CaCl2 and FeCl3-Activated Biochars Originated from Tangerine Peels",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"Direct OA PDF. High-priority source; numerical rows still require individual primary evidence checks."
10.1631/jzus.b1300102,2013,A_PMC_FULLTEXT,PMC3863373,50,50,50,50,"Sorption of ammonium and phosphate from aqueous solution by biochar derived from phytoremediation plants",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC/full-text route available. Phosphate rows only; ammonium data remain outside target."
10.3390/ijerph19127227,2022,A_PMC_FULLTEXT,PMC9223713,50,50,50,50,"Oyster Shell Modified Tobacco Straw Biochar: Efficient Phosphate Adsorption at Wide Range of pH Values",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC and MDPI PDF available."
10.1016/j.jclepro.2019.03.120,2019,C_OA_LANDING,,12,12,0,0,"Production of magnetic biochar from waste-derived fungal biomass for phosphorus removal and recovery",PRIMARY_ACCESS_ROUTE_FOUND,PENDING_PRIMARY_SOURCE_VERIFICATION,"OA landing route found but current discovery rows do not satisfy core/basic-material completeness; useful for source verification but not early P2 admission."
10.3390/ma13040816,2020,A_PMC_FULLTEXT,PMC7079661,122,122,122,122,"Synthesis of Fe/Mg-Biochar Nanocomposites for Phosphate Removal",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC and MDPI PDF available. High-priority verification source."
10.3390/ijerph110909217,2014,A_PMC_FULLTEXT,PMC4199016,125,125,125,125,"Application of Magnesium Modified Corn Biochar for Phosphorus Removal and Recovery from Swine Wastewater",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC and MDPI PDF available; verify whether individual rows are synthetic-solution experiments versus wastewater-specific conditions."
10.1039/c9ra02052g,2019,A_PMC_FULLTEXT,PMC9064806,24,24,24,24,"Synthesis of a novel magnetic Caragana korshinskii biochar/Mg-Al layered double hydroxide composite and its strong adsorption of phosphate in aqueous solutions",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC/RSC PDF route available."
10.1039/c8ra10400j,2019,A_PMC_FULLTEXT,PMC9062513,75,75,75,75,"Enhanced phosphate sequestration by Fe(III) modified biochar derived from coconut shell",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC/RSC PDF route available."
10.3390/su15031778,2023,B_OA_PDF,,64,64,64,64,"Efficient Phosphate Removal from Wastewater by Ca-Laden Biochar Composites Prepared from Eggshell and Peanut Shells: A Comparison of Methods",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"Direct MDPI OA PDF."
10.3390/ijerph20010326,2023,A_PMC_FULLTEXT,PMC9820018,120,116,116,116,"Phosphate Removal Mechanisms in Aqueous Solutions by Three Different Fe-Modified Biochars",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"PMC/MDPI full text plus supplementary-material signal. High-priority verification source."
10.1021/acsomega.3c00992,2023,A_PMC_FULLTEXT,PMC10116626,79,79,55,55,"Preparation and Characterization of an Invasive Plant-Derived Biochar-Supported Nano-Sized Lanthanum Composite and Its Application in Phosphate Capture from Aqueous Media",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"Open ACS/PMC article. Secondary workbook identifies all 79 rows with source-figure labels, making it especially suitable for a primary figure-reconciliation test."
10.2166/wst.2021.485,2021,C_OA_LANDING,,83,83,0,0,"Removal of phosphate from aqueous solution by chitosan coated and lanthanum loaded biochar derived from urban dewatered sewage sludge: adsorption mechanism and application to lab-scale columns",PRIMARY_ACCESS_ROUTE_FOUND,PENDING_PRIMARY_SOURCE_VERIFICATION,"Batch adsorption rows may be eligible; column outputs are explicitly outside the V3 qe target. Current discovery block lacks core P2 completeness."
10.3390/w10070869,2018,B_OA_PDF,,90,29,17,0,"Adsorption Behaviors and Removal Efficiencies of Inorganic, Polymeric and Organic Phosphates from Aqueous Solution on Biochar Derived from Sewage Sludge of Chemically Enhanced Primary Treatment Process",PRIMARY_ACCESS_CONFIRMED,PENDING_PRIMARY_SOURCE_VERIFICATION,"OA PDF. Target-species heterogeneity requires strict separation of inorganic phosphate from polymeric/organic phosphorus species before admission."
