domain_id,seed_id,year,title,doi,reported_rows_or_scope,study_count_signal,raw_data_status,provenance_status,v3_role,next_action
DYE_BIOCARBON,liu_dye_2025,2025,Enhanced machine learning prediction of biochar adsorption for dyes: Parameter optimization and experimental validation,10.1007/s44246-025-00213-9,"685 reported; 624 strict reconstructed in Paper 1","17 high-confidence strict; 19 extended","public workbook and code","substantially reconstructed","discovery seed + possible V3 row source","deduplicate source DOI list against all other dye compilations"
DYE_BIOCARBON,moosavi_2021,2021,A Study on Machine Learning Methods' Application for Dye Adsorption Prediction onto Agricultural Waste Activated Carbon,10.3390/nano11102734,"350 published; 344 recoverable","12 recoverable references","official supplement public","reference groups recoverable; overlaps historical V2.1 lineage","discovery seed only until deduplicated","expand primary-paper list and descriptor-coverage audit"
DYE_BIOCARBON,liu_hydrochar_2024,2024,Machine learning prediction of dye adsorption by hydrochar: Parameter optimization and experimental validation,10.1016/j.jhazmat.2024.135853,"628 observations; 35 hydrochar types","primary-publication count not yet extracted","raw-data availability to verify","unresolved","candidate discovery seed","obtain source list and determine whether hydrochar should be a separate material stratum"
DYE_BIOCARBON,yadav_congo_2025,2025,Machine learning-driven prediction of biochar adsorption capacity for effective removal of Congo red dye,10.1007/s44246-024-00168-3,"literature-derived single-dye corpus; row count to verify from source data","not stated in current screen","available from corresponding author on request","unresolved","single-dye feasibility seed","obtain dataset/source bibliography if practical"
DYE_BIOCARBON,rajput_mb_2025,2025,Predicting biochar adsorption capacity for methylene blue removal using machine learning,10.1016/j.jwpe.2024.106749,"199 literature-derived observations","not stated in current screen","availability to verify","unresolved","single-dye feasibility seed","obtain source bibliography and deduplicate with Liu/Moosavi"
PHOSPHATE_BIOCHAR,iftikhar_phosphate_2025,2025,Probabilistic prediction of phosphate ion adsorption onto biochar materials using a large dataset and online deployment,10.1016/j.chemosphere.2024.144031,"~2959 modelling observations; 132 unique adsorbents; 71 shortlisted articles","71 relevant articles screened for data collection","row-level public raw data not yet confirmed","publication-level source set expected but row mapping unresolved","highest-priority phosphate discovery seed","recover supplementary/source bibliography and test row-to-study mapping"
PHOSPHATE_BIOCHAR,spt_phosphate_2025,2025,Decoding structure-performance relationships in biochar-based phosphate adsorbents: A systematic review and machine learning approach,10.1016/j.seppur.2025.132066,"532 unique data points",">50 studies evaluated","supplement availability to retrieve","row-to-source mapping to verify","independent phosphate discovery seed","obtain Table S3/source mapping and deduplicate against Chemosphere corpus"
PHOSPHATE_BIOCHAR,jem_phosphorus_2024,2024,Machine learning-driven prediction of phosphorus adsorption capacity of biochar: Insights for adsorbent design and process optimization,10.1016/j.jenvman.2024.122405,"190 biochar types; 17 variables","source-study count not stated in current screen","data availability to verify","unresolved","phosphate discovery/external seed","recover source list and target semantics"
HEAVY_METAL_BIOCHAR,huang_metals_2026,2026,Machine Learning-Based Prediction and Optimization of Heavy Metal Adsorption Performance of Biochar,10.3390/f17030326,"452 adsorption records","compiled from independent literature sources; exact count not yet extracted","data available on request","source-aware split confirmed; row mapping unavailable","positive source-aware benchmark + discovery seed","request or reconstruct source bibliography; do not use test set iteratively"
HEAVY_METAL_BIOCHAR,yu_pbcd_2026,2026,Machine Learning-Driven Optimization for Predicting Biochar Adsorption Performance Toward Pb(II) and Cd(II),10.3390/w18121416,"781 rows: 304 Pb and 477 Cd","selected-study count to reconstruct","Supplementary Table S1 Original_data public","row-level source IDs to inspect","high-priority heavy-metal seed","retrieve supplement and assess source/descriptor fields"
HEAVY_METAL_BIOCHAR,abu_cd_2026,2026,Robust Data driven modeling of Cd(II) adsorption on biochar,10.1016/j.hazadv.2026.101004,"1150 rows","5 cited source papers","data available on request","source papers named at article level","warning/example of high-row low-study corpus","do not treat 1150 rows as adequate independence; use sources for discovery only"
